,Crypto,Funding Rate,Exchange,date_time
1393,"""SC"" ",-0.0288,"""FTX SC ",2022-05-28 04:00:53.054651
1399,"""SCRT"" ",-0.128,"""FTX SCRT ",2022-05-28 04:00:53.054651
1405,"""SECO"" ",-0.0488,"""FTX SECO ",2022-05-28 04:00:53.054651
1409,"""SFP"" ",-0.011306,"""Binance SFP ",2022-05-28 04:00:53.054651
1417,"""SHIB"" ",-0.0232,"""FTX SHIB ",2022-05-28 04:00:53.054651
1424,"""SHIBT"" ",0.01,"""BitMEX SHIBT ",2022-05-28 04:00:53.054651
1427,"""SKL"" ",-0.037166,"""Binance SKL ",2022-05-28 04:00:53.054651
1430,"""SKL"" ",-0.0464,"""FTX SKL ",2022-05-28 04:00:53.054651
1436,"""SLP"" ",0.0512,"""FTX SLP ",2022-05-28 04:00:53.054651
1440,"""SNX"" ",-0.041954,"""Binance SNX ",2022-05-28 04:00:53.054651
1442,"""SNX"" ",0.00266648,"""dYdX SNX ",2022-05-28 04:00:53.054651
1444,"""SNX"" ",-0.02,"""FTX SNX ",2022-05-28 04:00:53.054651
1448,"""SOL"" ",0.00075,"""Binance SOL ",2022-05-28 04:00:53.054651
1450,"""SOL"" ",-0.02839432,"""dYdX SOL ",2022-05-28 04:00:53.054651
1452,"""SOL"" ",-0.0128,"""FTX SOL ",2022-05-28 04:00:53.054651
1454,"""SOL"" ",0.01,"""BitMEX SOL ",2022-05-28 04:00:53.054651
1457,"""SOLBU"" ",-0.002965,"""Binance SOLBU ",2022-05-28 04:00:53.054651
1463,"""SOLBUSD"" ",-0.005939,"""Binance SOLBUSD ",2022-05-28 04:00:53.054651
1472,"""SOLT"" ",0.01,"""BitMEX SOLT ",2022-05-28 04:00:53.054651
1477,"""SOS"" ",-0.5984,"""FTX SOS ",2022-05-28 04:00:53.054651
1483,"""SPELL"" ",-0.04,"""FTX SPELL ",2022-05-28 04:00:53.054651
1487,"""SRM"" ",-0.035324,"""Binance SRM ",2022-05-28 04:00:53.054651
1490,"""SRM"" ",-0.0432,"""FTX SRM ",2022-05-28 04:00:53.054651
1497,"""SRMT"" ",0.2713,"""BitMEX SRMT ",2022-05-28 04:00:53.054651
1502,"""SRN"" ",-0.6248,"""FTX SRN ",2022-05-28 04:00:53.054651
1508,"""STEP"" ",0.0768,"""FTX STEP ",2022-05-28 04:00:53.054651
1512,"""STMX"" ",0.008411,"""Binance STMX ",2022-05-28 04:00:53.054651
1515,"""STMX"" ",0.0032,"""FTX STMX ",2022-05-28 04:00:53.054651
1519,"""STORJ"" ",-0.035309,"""Binance STORJ ",2022-05-28 04:00:53.054651
1522,"""STORJ"" ",-0.028,"""FTX STORJ ",2022-05-28 04:00:53.054651
1528,"""STX"" ",-0.0472,"""FTX STX ",2022-05-28 04:00:53.054651
1532,"""SUSHI"" ",0.002593,"""Binance SUSHI ",2022-05-28 04:00:53.054651
1534,"""SUSHI"" ",0.00222136,"""dYdX SUSHI ",2022-05-28 04:00:53.054651
1536,"""SUSHI"" ",-0.0248,"""FTX SUSHI ",2022-05-28 04:00:53.054651
1538,"""SUSHI"" ",0.0735,"""BitMEX SUSHI ",2022-05-28 04:00:53.054651
1541,"""SXP"" ",0.001172,"""Binance SXP ",2022-05-28 04:00:53.054651
1544,"""SXP"" ",0.0024,"""FTX SXP ",2022-05-28 04:00:53.054651
1548,"""THETA"" ",-0.036724,"""Binance THETA ",2022-05-28 04:00:53.054651
1551,"""THETA"" ",-0.0352,"""FTX THETA ",2022-05-28 04:00:53.054651
1555,"""TLM"" ",-0.038996,"""Binance TLM ",2022-05-28 04:00:53.054651
1558,"""TLM"" ",-0.0344,"""FTX TLM ",2022-05-28 04:00:53.054651
1562,"""TOMO"" ",-0.203795,"""Binance TOMO ",2022-05-28 04:00:53.054651
1565,"""TOMO"" ",-0.1072,"""FTX TOMO ",2022-05-28 04:00:53.054651
1571,"""TONCO"" ",0.0128,"""FTX TONCO ",2022-05-28 04:00:53.054651
